CD_CVM;DENOM_CIA;CD_CONTA;DS_CONTA;VL_CONTA;ORDEM_EXERC
001023;BCO BRASIL S.A.;1;Ativo Total;2398719197.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.01;Caixa e Equivalentes de Caixa;83167243.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.01.01;Caixa;20079736.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.01.02;Aplicações de Liquidez;63087507.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02;Ativos Financeiros;2129190687.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.01;Depósito Compulsório Banco Central;115697589.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.02;Ativos Financeiros Avaliados ao Valor Justo através do Resultado;18829091.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.02.01;Títulos e Valores Mobiliários;6161376.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.02.02;Derivativos;12667715.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.03;Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes;484298095.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.03.01;Títulos e Valores Mobiliários;484298095.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04;Ativos Financeiros ao Custo Amortizado;1510365912.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.01;Aplicações em Depósitos Interfinanceiros;23983858.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.02;Aplicações no Mercado Aberto;322175834.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.03;Títulos e Valores Mobiliários;88445564.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.04;Operações de Crédito;1020552099.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.05;Provisão para Perdas Esperadas Associadas ao Risco de Crédito;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.06;Operações de Arrendamento;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.07;Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.02.04.08;Outros Ativos Financeiros;55208557.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.03;Tributos;86619721.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.03.01;Imposto de Renda e Contribuição Social - Correntes;12047149.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.03.02;Imposto de Renda e Contribuição Social - Diferidos;74572572.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.03.03;Outros;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.04;Outros Ativos;50170864.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.04.01;Ativos Não Correntes a Venda;141065.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.04.02;Ativos de Operações Descontinuadas;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.04.03;Outros;50029799.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.05;Investimentos;21823293.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.05.01;Participações em Coligadas;21823293.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.05.02;Participações em Controladas em Conjunto;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.05.03;Propriedades para Investimento;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.05.04;Outros Investimentos;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.06;Imobilizado;16396970.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.06.01;Imobilizado de Uso;11962858.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.06.02;Direito de Uso de Arrendamento;4434112.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.06.03;Depreciação Acumulada;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.07;Intangível;11350419.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.07.01;Intangíveis;11350419.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.07.02;Goodwill;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;1.07.03;Amortização Acumulada;0.0000000000;ÚLTIMO
014206;BRB BANCO DE BRASILIA S.A.;1;Ativo Total;62504412.0000000000;ÚLTIMO
