CD_CVM;DENOM_CIA;CD_CONTA;DS_CONTA;VL_CONTA;ORDEM_EXERC
014206;BRB BANCO DE BRASILIA S.A.;6.01;Caixa Líquido Atividades Operacionais;1476678.0000000000;ÚLTIMO
014206;BRB BANCO DE BRASILIA S.A.;6.02;Caixa Líquido Atividades de Investimento;-187725.0000000000;ÚLTIMO
014206;BRB BANCO DE BRASILIA S.A.;6.03;Caixa Líquido Atividades de Financiamento;546600.0000000000;ÚLTIMO
014206;BRB BANCO DE BRASILIA S.A.;6.04;Efeitos de Variação Cambial s/ Caixa e Equivalentes;-7495.0000000000;ÚLTIMO
014206;BRB BANCO DE BRASILIA S.A.;6.05;Aumento (Redução) de Caixa e Equivalentes;1828058.0000000000;ÚLTIMO
014206;BRB BANCO DE BRASILIA S.A.;6.05.01;Saldo Inicial de Caixa e Equivalentes;201195.0000000000;ÚLTIMO
014206;BRB BANCO DE BRASILIA S.A.;6.05.02;Saldo Final de Caixa e Equivalentes;2029253.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01;Caixa Líquido Atividades Operacionais;236752.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01.01;Recebimento de Consumidores;380764.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01.02;Fornecedores - Materiais e Serviços;-79895.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01.03;Fornecedores - Energia Elétrica;-34391.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01.04;Outros;16523.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01.05;Salários e Encargos Sociais;-73859.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01.06;Rendimento de Aplicações Financeiras;72518.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01.07;Pagamentos de Encargos da Dívida;-89.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01.08;Dividendos e Juros Sobre Capital Próprio Recebidos;110901.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01.09;Impostos e Contribuições;-101879.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01.10;Encargos Setoriais;-3729.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01.11;Comp. Financ. pela utilização de Recursos Hídricos;-6583.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01.12;Depósitos Judiciais;0.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01.13;Pagamento de Arredamento;-33573.0000000000;ÚLTIMO
014451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6.01.14;Constituição de Caução CCEE;-6248.0000000000;ÚLTIMO
