CD_CVM;DENOM_CIA;CD_CONTA;DS_CONTA;VL_CONTA;ORDEM_EXERC
001023;BCO BRASIL S.A.;6.01;Caixa Líquido das Atividades Operacionais;127208098.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.01;Caixa Gerado pelas Operações;75294451.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.01.01;Lucro ou Prejuízo Líquido antes dos Tributos sobre o Lucro;29171564.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.01.02;Ajustes ao Lucro ou Prejuízo;46122887.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02;Variações nos Ativos e Passivos;51913647.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.01;Variação líquida em depósitos compulsórios no Banco Central do Brasil;-15891688.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.02;Variação líquida em empréstimos a instituições financeiras;58863399.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.03;Variação líquida em aplicações em operações compromissadas;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.04;Variação líquida em ativos financeiros ao VJR;-4655787.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.05;Variação líquida em empréstimos a clientes;-161311536.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.06;Variação líquida em ativos não correntes disponíveis para venda;-128989.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.07;Variação líquida em outros ativos;-8115618.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.08;Variação líquida em recursos de clientes;61766888.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.09;Variação líquida em valores a pagar a instituições financeiras;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.10;Variação líquida em passivos financeiros ao VJR;5756939.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.11;Variação líquida em recursos de instituições financeiras;72833603.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.12;Variação líquida em recursos de emissões de títulos e valores mobiliários;43955082.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.13;Variação líquida em outros passivos;8878866.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.02.14;Caixa pago em impostos sobre a renda;-10037512.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.01.03;Outros;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02;Caixa Líquido Atividades de Investimento;-93492814.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.01;Compra de Ativos financeiros ao VJORA;-397865334.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.02;Venda de Ativos Financeiros ao VJORA;342377143.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.03;Compra de títulos e valores mobiliários ao custo amortizado;-45967992.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.04;Resgate de títulos e valores mobiliários ao custo amortizado;6425414.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.05;Compra de ativo imobilizado;-2972315.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.06;Venda de ativo imobilizado;3223.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.07;Aquisição de investimentos em coligadas e joint ventures;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.08;Alienação de investimentos em coligadas e joint ventures;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.09;Aquisição de ativos intangíveis;-2773925.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.10;Alienação de ativos intangíveis;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.11;Dividendos e juros sobre capital próprio recebidos;7294472.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.12;Resgate de ações preferenciais da UBS BB;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.13;Aporte de capital social - Broto S.A.;-13500.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.14;Resgate de ações Cateno;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.15;Alienação de participação no Banco Digio S.A.;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.16;Aporte de capital social - Brasilprev Seguros e Previdência S.A.;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.17;Aporte de capital social - Brasilcap Capitalização S.A.;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.02.18;Aporte de capital social - Quod;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03;Caixa Líquido Atividades de Financiamento;-21361234.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.01;Liquidação de passivos de longo prazo;-11071945.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.02;Juros de instrumento elegível a capital principal pagos;-212616.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.03;Liquidação de arrendamentos;-1038927.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.04;Dividendos ou juros sobre o capital próprio pagos aos acionistas controladores;-14824290.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.05;Dividendos ou juros sobre o capital próprio pagos aos acionistas não controladores;-1739256.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.06;Captação de passivos de longo prazo;7525800.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.07;Efeito líquido na alienação de ações em tesouraria;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.08;Caixa pago aos acionistas não controladores na redução de capital da BB Seguridade;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.09;Transações patrimoniais com proprietários;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.03.10;Variação de participação de acionistas não controladores;0.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.04;Variação Cambial s/ Caixa e Equivalentes;13813379.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.05;Aumento (Redução) de Caixa e Equivalentes;26167429.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.05.01;Saldo Inicial de Caixa e Equivalentes;56999814.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;6.05.02;Saldo Final de Caixa e Equivalentes;83167243.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01;Caixa Líquido Atividades Operacionais;12385583.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01;Caixa Gerado nas Operações;2873650.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.01;Resultado antes do IR e da CSLL;10620784.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.02;Receitas de Transmissão;-19292579.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.03;Custos de Construção - Transmissão;4286914.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.04;Remensurações regulatórias - Transmissão;-6129771.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.05;Depreciação e amortização;3987775.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.06;Provisões (reversões) operacionais;-180019.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.07;Variações monetárias e cambiais líquidas;2699739.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.08;Encargos financeiros;5865332.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.09;Baixas de imobilizado e intangível;157248.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.10;Resultado da dívida protegida (hedge) e derivativos;1940087.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.11;Resultado das participações societárias;-2503207.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.01.12;Outras;1421347.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.02;Variações nos Ativos e Passivos;907552.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.02.01;Clientes;1111674.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.02.02;Direito de Ressarcimento;752350.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.02.03;Outros ativos;673834.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.02.04;Fornecedores;-614240.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.02.05;Adiantamentos;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.02.06;Obrigações com pessoal;-775899.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.02.07;Encargos setoriais;365508.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.02.08;Outros passivos;-605675.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.03;Outros;8604381.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.03.01;Pagamento de encargos financeiros;-6650869.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.03.02;Recebimento de encargos financeiros;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.03.03;Recebimento de receita anual permitida - RAP;19248186.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.03.04;Pagamento de imposto de renda e contribuição social;-1488382.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.03.05;Recebimento de remuneração de investimentos em participações societárias;1506336.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.03.06;Pagamento de previdência complementar;-430698.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.03.07;Pagamento de litígios;-3776063.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.01.03.08;Cauções e depósitos vinculados;195871.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02;Caixa Líquido Atividades de Investimento;-8660321.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.01;Aquisição de debentures;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.02;Recebimento de empréstimo, financiamentos e debêntures;12675.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.03;Aquisição de ativo imobilizado;-3099474.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.04;Aquisição de ativo intangível;-425891.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.05;Infraestrutura da transmissão - ativo contratual;-4286914.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.06;Aquisição/aporte de capital em participação societária;-176643.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.07;Concessão de adiantamento para futuro aumento de capital;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.08;Alienação de investimentos em participações societárias;2449160.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.09;Aplicações Financeiras Líquidas - TVM;-3064434.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.10;Recebimento de encargos - TVM;529802.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.11;Caixa restrito;-691526.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.12;Caixa líquido na combinação de negócios;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.13;Caixa líquido proveniente das (usado nas) atividades de investimento das operações descontinuadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.14;Recebimento de encargos financeiros;57665.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.02.15;Outros;35259.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.03;Caixa Líquido Atividades de Financiamento;9800889.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.03.01;Empréstimos, financiamentos e debêntures obtidos;29965839.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.03.02;Pagamento de empréstimos, financiamentos e debêntures - principal;-16009832.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.03.03;Pagamento e remuneração aos acionistas;-1307858.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.03.04;Recompra de ações;-115099.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.03.05;Pagamento aos acionistas dissidentes - incorporação de ações;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.03.06;Pagamento de Obrigações com CDE / Revitalização de bacias - principal;-1974965.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.03.07;Pagamento de arrendamentos - principal;-757196.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.03.08;Outros;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.04;Variação Cambial s/ Caixa e Equivalentes;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.05;Aumento (Redução) de Caixa e Equivalentes;13526151.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.05.01;Saldo Inicial de Caixa e Equivalentes;13046371.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;6.05.02;Saldo Final de Caixa e Equivalentes;26572522.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;6.01;Caixa Líquido Atividades Operacionais;560882.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;6.01.01;Caixa Gerado nas Operações;811441.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;6.01.01.01;Lucro líquido do exercício;272076.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;6.01.01.02;Depreciação e amortização;91172.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;6.01.01.03;Encargos financeiros, variação monetária e variação cambial;613183.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;6.01.01.04;Variação monetária e cambial de adiantamento a produtores;0.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;6.01.01.05;Variação monetária de impostos a recuperar;0.0000000000;ÚLTIMO
026190;CARAMURU ALIMENTOS S.A.;6.01.01.06;Variação cambial de contas a receber;0.0000000000;ÚLTIMO
