CD_CVM;DENOM_CIA;CD_CONTA;DS_CONTA;VL_CONTA;ORDEM_EXERC
001023;BCO BRASIL S.A.;3.01;Receitas de Intermediação Financeira;273505274.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.01.01;Receita de Juros;273505274.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.02;Despesas de Intermediação Financeira;-168990827.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.02.01;Despesa de Juros;-168990827.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.03;Resultado Bruto de Intermediação Financeira;104514447.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04;Outras Despesas e Receitas Operacionais;-76803858.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.01;Despesa de Provisão para Perda Esperada para Risco de Crédito;-47705982.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.02;Receitas de Prestação de Serviços;28033530.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.03;Despesas com Pessoal;-29248166.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.04;Outras Despesas de Administrativas;-9124925.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.05;Despesas Tributárias;-8717150.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.06;Outras Receitas Operacionais;13473612.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.06.01;Ganhos líquidos sobre instrumentos financeiros;3691682.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.06.02;Resultado líquido em operações de câmbio e em conversão de transações em moedas estrangeiras;-3350977.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.06.03;Outras;13132907.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.07;Outras Despesas Operacionais;-30991661.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.07.01;Amortização de ativos intangíveis;-2467259.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.07.02;Provisões trabalhistas, fiscais e cíveis;-11701066.0000000000;ÚLTIMO
001023;BCO BRASIL S.A.;3.04.07.03;Depreciação;-2642297.0000000000;ÚLTIMO
